Vivado Simulator 2016.2
Time resolution is 1 ps
i=xxxx, x=xxxxxxxxxxxxxxxx, y=xxxxxxxxxxxxxxxx, z=xxxxxxxxxxxxxxxx
i=0101, x=0000000000010101, y=0000000000010111, z=0000000001111110
i=0101, x=0000000000001010, y=0000000000001011, z=0000000000111111
i=0101, x=0000000000000101, y=0000000000000101, z=0000000000011111
i=0101, x=0000000000000010, y=0000000000000010, z=0000000000001111
i=0101, x=0000000000000001, y=0000000000000001, z=0000000000000111
i=0101, x=0000000000000000, y=0000000000000000, z=0000000000000011
i=0101, x=0000000000000000, y=0000000000000000, z=0000000000000001
i=0101, x=0000000000000000, y=0000000000000000, z=0000000000000000
i=0110, x=0010110100110111, y=0010110101001000, z=1111111111110110
i=0110, x=0001011010011011, y=0001011010100100, z=0111111111111011
i=0110, x=0000101101001101, y=0000101101010010, z=0011111111111101
i=0110, x=0000010110100110, y=0000010110101001, z=0001111111111110
i=0110, x=0000001011010011, y=0000001011010100, z=0000111111111111
i=0110, x=0000000101101001, y=0000000101101010, z=0000011111111111
i=0110, x=0000000010110100, y=0000000010110101, z=0000001111111111
i=0110, x=0000000001011010, y=0000000001011010, z=0000000111111111
i=0110, x=0000000000101101, y=0000000000101101, z=0000000011111111
i=0110, x=0000000000010110, y=0000000000010110, z=0000000001111111
i=0110, x=0000000000001011, y=0000000000001011, z=0000000000111111
i=0110, x=0000000000000101, y=0000000000000101, z=0000000000011111
i=0110, x=0000000000000010, y=0000000000000010, z=0000000000001111
i=0110, x=0000000000000001, y=0000000000000001, z=0000000000000111
i=0110, x=0000000000000000, y=0000000000000000, z=0000000000000011
i=0110, x=0000000000000000, y=0000000000000000, z=0000000000000001
i=0110, x=0000000000000000, y=0000000000000000, z=0000000000000000
i=0111, x=0010110111101100, y=0010110010010100, z=0000000011110110
i=0111, x=0001011011110110, y=0001011001001010, z=0000000001111011
i=0111, x=0000101101111011, y=0000101100100101, z=0000000000111101
i=0111, x=0000010110111101, y=0000010110010010, z=0000000000011110
i=0111, x=0000001011011110, y=0000001011001001, z=0000000000001111
i=0111, x=0000000101101111, y=0000000101100100, z=0000000000000111
i=0111, x=0000000010110111, y=0000000010110010, z=0000000000000011
i=0111, x=0000000001011011, y=0000000001011001, z=0000000000000001
i=0111, x=0000000000101101, y=0000000000101100, z=0000000000000000
i=0111, x=0000000000010110, y=0000000000010110, z=0000000000000000
i=0111, x=0000000000001011, y=0000000000001011, z=0000000000000000
i=0111, x=0000000000000101, y=0000000000000101, z=0000000000000000
i=0111, x=0000000000000010, y=0000000000000010, z=0000000000000000
i=0111, x=0000000000000001, y=0000000000000001, z=0000000000000000
i=0111, x=0000000000000000, y=0000000000000000, z=0000000000000000
i=1000, x=0010110110010011, y=0010110011101111, z=0000000001110110
i=1000, x=0001011011001001, y=0001011001110111, z=0000000000111011
i=1000, x=0000101101100100, y=0000101100111011, z=0000000000011101
i=1000, x=0000010110110010, y=0000010110011101, z=0000000000001110
i=1000, x=0000001011011001, y=0000001011001110, z=0000000000000111
i=1000, x=0000000101101100, y=0000000101100111, z=0000000000000011
i=1000, x=0000000010110110, y=0000000010110011, z=0000000000000001
i=1000, x=0000000001011011, y=0000000001011001, z=0000000000000000
i=1000, x=0000000000101101, y=0000000000101100, z=0000000000000000
i=1000, x=0000000000010110, y=0000000000010110, z=0000000000000000
i=1000, x=0000000000001011, y=0000000000001011, z=0000000000000000
i=1000, x=0000000000000101, y=0000000000000101, z=0000000000000000
i=1000, x=0000000000000010, y=0000000000000010, z=0000000000000000
